Vgs1 (V) =	-2.064548E-5	Vgs2 (V) =	4.999889E+0	Vgs3 (V) =	1.000030E+1	Vgs4 (V) =	1.500037E+1	Vgs5 (V) =	1.999959E+1	Vgs6 (V) =	2.499847E+1	Vgs7 (V) =	3.000044E+1	Vgs8 (V) =	3.500514E+1	Vgs9 (V) =	4.000999E+1	
Igs1 (A) =	-1.947870E-9	Igs2 (A) =	1.285369E-10	Igs3 (A) =	4.341896E-10	Igs4 (A) =	4.981444E-10	Igs5 (A) =	6.987573E-10	Igs6 (A) =	5.241204E-10	Igs7 (A) =	-1.146203E-10	Igs8 (A) =	5.747463E-10	Igs9 (A) =	4.977657E-10	
Vds1 (V)	Ids1 (A)	Vds2 (V)	Ids2 (A)	Vds3 (V)	Ids3 (A)	Vds4 (V)	Ids4 (A)	Vds5 (V)	Ids5 (A)	Vds6 (V)	Ids6 (A)	Vds7 (V)	Ids7 (A)	Vds8 (V)	Ids8 (A)	Vds9 (V)	Ids9 (A)	
2.80189600E+1	6.42971500E-7	2.80181100E+1	3.73873800E-6	2.80189100E+1	9.23023400E-6	2.80177200E+1	1.70923600E-5	2.80182200E+1	3.15461300E-5	2.80182500E+1	4.96622500E-5	2.80187900E+1	7.33688300E-5	2.80193600E+1	1.02830500E-4	2.80178600E+1	1.37986500E-4
2.85187500E+1	6.45258900E-7	2.85183500E+1	3.75193800E-6	2.85189900E+1	9.24823800E-6	2.85177900E+1	1.70787400E-5	2.85184800E+1	3.16528600E-5	2.85184800E+1	4.99006200E-5	2.85188300E+1	7.38698700E-5	2.85195800E+1	1.03674500E-4	2.85179500E+1	1.39275900E-4
2.90218900E+1	6.47653100E-7	2.90211100E+1	3.76351500E-6	2.90221800E+1	9.26594200E-6	2.90208400E+1	1.72712200E-5	2.90212300E+1	3.17512200E-5	2.90216300E+1	5.01216200E-5	2.90216100E+1	7.43168900E-5	2.90224600E+1	1.04497800E-4	2.90208100E+1	1.40564200E-4
2.95215300E+1	6.50241300E-7	2.95208900E+1	3.77491500E-6	2.95221000E+1	9.28420100E-6	2.95207200E+1	1.74334000E-5	2.95206300E+1	3.18505600E-5	2.95209700E+1	5.03516300E-5	2.95215300E+1	7.47506300E-5	2.95032500E+1	1.05002300E-4	2.95204800E+1	1.41771300E-4
3.00209800E+1	6.52635000E-7	3.00204200E+1	3.78613800E-6	3.00213600E+1	9.30110500E-6	3.00197400E+1	1.75629300E-5	3.00203900E+1	3.19244900E-5	3.00206500E+1	5.05511900E-5	3.00209400E+1	7.51770800E-5	3.00201100E+1	1.04168300E-4	3.00199400E+1	1.42930100E-4
3.05209100E+1	6.55562600E-7	3.05202500E+1	3.79578800E-6	3.05211000E+1	9.31950700E-6	3.05199100E+1	1.76213900E-5	3.05200400E+1	3.20031100E-5	3.05203900E+1	5.07356200E-5	3.05209000E+1	7.55550600E-5	3.05195500E+1	1.05117600E-4	3.05195300E+1	1.44051100E-4
3.10205500E+1	6.58059600E-7	3.10201400E+1	3.80509500E-6	3.10210000E+1	9.33043100E-6	3.10199100E+1	1.77537700E-5	3.10199200E+1	3.20784600E-5	3.10199900E+1	5.09174100E-5	3.10207600E+1	7.59339600E-5	3.10196400E+1	1.06024900E-4	3.10195800E+1	1.45165200E-4
3.15202100E+1	6.60542500E-7	3.15196600E+1	3.81498800E-6	3.15205600E+1	9.34077500E-6	3.15194200E+1	1.77060400E-5	3.15196800E+1	3.21439500E-5	3.15197300E+1	5.11278500E-5	3.15203500E+1	7.62883100E-5	3.15191900E+1	1.06888200E-4	3.15192600E+1	1.46243900E-4
3.20233300E+1	6.62721600E-7	3.20227900E+1	3.82667500E-6	3.20238400E+1	9.35330800E-6	3.20223400E+1	1.76850500E-5	3.20225400E+1	3.22100800E-5	3.20230800E+1	5.13125500E-5	3.20232600E+1	7.66511200E-5	3.20221300E+1	1.07708500E-4	3.20222500E+1	1.47309400E-4
3.25229600E+1	6.65300400E-7	3.25224100E+1	3.83477300E-6	3.25233100E+1	9.36302300E-6	3.25220500E+1	1.75433700E-5	3.25222200E+1	3.22806400E-5	3.25223200E+1	5.14759300E-5	3.25231100E+1	7.69892600E-5	3.25218800E+1	1.08462400E-4	3.25219800E+1	1.48300200E-4
